id,imgs,birdCall,blueSunglasses,brownDie,cactusPaper,canadaPencil,carabiner,cloudSign,cowbell,cupcakePaper,eyeball,foamDart,gClamp,giftBag,glassBead,gyroscope,hairClip,hairRoller,lavenderDie,legoBracelet,metalKey,miniCards,noisemaker,paperPlate,partyFavor,pinkCandle,pinkEraser,plaidPencil,pumpkinNotes,rainbowPens,redBow,redDart,redWhistle,rubiksCube,sign,silverStraw,spiderRing,stickerBox,trophy,turtle,vancouverCards,voiceRecorder,yellowBag,yellowBalloon
1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2
2,15,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4
3,25,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9
4,25,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,3,0,1,0,0,5,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
5,43,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13,0,0,0,0,0,8,0,8,0,0,11,0,0,0,0,0,4
6,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,1,0,0,0,9,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,4,4
7,17,0,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
8,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
9,26,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,25,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,4,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
11,30,0,0,0,4,0,0,0,0,3,4,6,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
13,37,12,14,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,14,0,13,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,19,5,0,0,0,5,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,13,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
16,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
17,64,1,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,0,0,17,1,0,0,9,0,0,0,0,0,0
18,9,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
19,8,0,0,0,0,0,0,0,0,0,2,0,6,0,4,2,0,3,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,29,0,0,0,0,0,0,4,0,0,2,0,4,0,0,0,3,0,0,0,5,0,4,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0
22,8,0,3,0,0,2,0,0,1,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
23,83,0,0,17,0,0,0,0,0,13,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0
24,14,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0
25,26,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
26,6,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,14,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0
29,14,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,0,5,0,0,0,0,0
30,18,0,0,0,0,0,6,0,0,0,7,0,0,3,1,0,0,0,1,0,13,0,0,0,0,0,0,0,0,16,0,0,0,10,0,10,0,0,0,0,0,0,0,0
31,5,0,4,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0
32,56,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0
33,61,0,0,12,0,0,0,0,0,0,0,16,0,14,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,28,0,0,0,0
34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,11,0,0,16,0,0,8,0,0,14,3,0,0,0
35,12,0,0,0,0,4,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0
37,24,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,7,0,0,0,0,6,8,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
38,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,5,4,0,0,0,0,0,0,0,0,5,0
39,12,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
40,10,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
